3.6.3,3.6.3,"""Didn't Stan update it last year?"" 2.5",3.6.3,3.6.3,3.6.3,3.6.4,3.6.5
CSF Phase,CSF Phase Sub-category,Problem name,Description,Relevant quotes from casefile,Relevance to RCI's priorities,Root cause,C:1
1 Identify,Identify · Asset inventory,Lack of Asset Inventory,No master list of hardware/software; CMDB is missing active servers,"""The cmdb doesnt even list ehr-14"" 2.3",10 (Absolutely critically relevant),Failure to perform network discovery and asset reconciliation after hospital acquisition.,1:2
1 Identify,Identify · Asset prioritization,Value vs. Protection Gap,"Leadership assumed critical assets were protected based on their value, without prioritizing resources to verify those controls.","""How on earth did we not have our assets properly protected AND backed up?"" 5.1",10 (Absolutely critically relevant),Failure to align security controls with business value ,1:3
1 Identify,Identify · Risk assessments,Stale Risk Registers,"The organization relied on individual staff memory (""Stan"") for risk management rather than a formal, updated risk assessment process.","""Didn't Stan update it last year?"" 2.5",8 (Definitely relevant),Poor knowledge transfer and risk register maintenance; treating risk assessment as a person-dependent task rather than a process.,1:4
1 Identify,Identify · Vulnerability assessments,Missing Security Audits,"Leadership is unaware of the last time a security assessment was conducted, indicating a total lack of vulnerability visibility.","""When was our last audit?"" 5.1",9 (Completely relevant),Absence of a defined annual internal/external vulnerability assessment or audit schedule.,1:5
2 Protect,Protect · Access control,Unprotected Assests,Leadership Acknowledges a failure to apply protection controls commensurate with asset value.,"""How on earth did we not have our assets properly protected AND backed up?"" 5.1",10 (Absolutely critically relevant),Failure to implement access controls (identity Management/authentication) linked to asset criticality ,2:6
2 Protect,Protect · Data (at rest),Unencrypted Exfiltration,"The attackers are selling readable patient data, proving that sensitive records were stored in plaintext.","""Data sample appears to be legitimately ours... unlike our 8-month old backup…their sample appears to be from…last Tuesday."" 6.3",10 (Absolutely critically relevant),"Failure to implement encryption (AES-256) on the database. If encryption had been active, the stolen data would be useless to the attackers.",2:7
2 Protect,Protect · Patch management,Unmanaged / Shadow Asset,"The server ""EHR-14"" was excluded from all automated maintenance and security updates because the central management system did not know it existed.","""The cmdb doesnt even list ehr-14"" 2.3 ",10 (Absolutely critically relevant),"Failure of Asset Discovery. You cannot patch what you do not track. The server was likely running on a vulnerable, outdated OS snapshot from the time of the acquisition.",2:8
2 Protect,Protect · Security awareness,Executive blindness,Top Leadership lacks awareness of the organizations security posture and the how and why of basic security threats ,"""How did any of this happen?"" 5.1",9 (Completely relevant),Lack of security briefings and threat awareness training for the c-suit ,2:9
3 Detect,Detect · Continuous monitoring (SIEM),Reactive vs proactive visibility ,The organization had no mechanism to see the attack happening in real time .. detection only happend after the damage was done  ,"""Don’t we have security monitoring set up to detect this stuff BEFORE it impacts our bottom line?"" 5.1 ",10 (Absolutely critically relevant),Failure to implement a security information and event management system to aggregate and alert on logs ,3:10
3 Detect,Detect · IDS/IPS,User Based Detection ,the intrusion detection system was effectively the staff realizing they couldnt work. the network tools filled to flag or block the malicious traffic ,"""Everybody on my floor is reporting the patient record server isn't responding anymore."" 1.1 ",9 (Completely relevant),Lack of Network Intrusion Detection/Prevention Systems (NIDS/NIPS) to identify anomalous traffic patterns before system failure.,3:11
3 Detect,Detect · Audits & reviews,Missing Audit Trail,"Leadership has no knowledge of the security baseline or validation history, indicating a complete gap in verification processes.","""When was our last audit?"" 5.1",9 (Completely relevant),"Absence of a defined, recurring internal/external audit schedule to validate security controls.",3:12
4 Respond,Respond · IRPs,Obsolete Documentation,The existing response plan is outdated and does not account for the acquired hospital infrastructure.,"""The only copy of an IRP I can find is from five years ago, before we acquired the hospital campus."" 2.7",10 (Absolutely critically relevant),Failure to update governance documents (IRP) during Merger & Acquisition (M&A).,4:13
4 Respond,Respond · Communication protocols,Emotional Escalation,"Communication during the crisis was unprofessional and chaotic, lacking a defined escalation path or script.","""Are you serious?! How could you have let this happen! I need to go focus on doing my job."" 1.4",8 (Definitely relevant),Lack of incident communication training and predefined escalation hierarchies for staff.,4:14
4 Respond,Respond · Communication protocols,Unlawful Concealment (Cover-Up),"Executive leadership directs the team to withhold breach notification from regulators and victims, violating mandatory reporting laws (e.g., HIPAA) to avoid reputational damage.","""I don't think we need to notify anybody."" 4.3",10 (Absolutely critically relevant),"Governance Failure: Executive leadership (CFO) prioritized reputation over legal compliance (HIPAA/GDPR), bypassing legal counsel to hide the breach.",4:15
4 Respond,Respond · RCA,Lack of Forensics,"Leadership is immediately asking ""how"" and ""why"" without a process to investigate the root cause, indicating no forensic readiness.","""How did any of this happen?"" 5.1",9 (Completely relevant),Absence of a dedicated RCA process or forensic team to analyze the attack vector post-incident.,4:16
4 Respond,Respond · Incident remediation processes,Service Restoration Failure,"Due to failed backups and remediation, the organization is forced to consider paying criminals as a primary recovery strategy.","""I guess we're going to have to pay the ransom, then."" 3.2",10 (Absolutely critically relevant),"Failure of the ""Recover"" phase (Backups) forced a remediation strategy based on paying the threat actor.",4:17
5 Recover,Recover · DRPs,Ransom as Strategy,"Due to the failure of the DRP (or lack thereof), the organization's only viable recovery strategy is to pay the criminal actors.","""I guess we're going to have to pay the ransom, then."" 3.2",10 (Absolutely critically relevant),Failure to implement immutable offsite storage or a viable Business Continuity Plan (BCP) that does not rely on criminals.,5:18
5 Recover,Recover · Backup & restoration,Stale Backups,The primary recovery mechanism failed completely because backups had not been run or verified in nearly a year.,"""The latest backup of the patient records is eight months old."" 4.1 ",10 (Absolutely critically relevant),Lack of automated backup scheduling and regular integrity verification (restore testing).,5:19